INFO:root:Epoch 0 evaluation score: -0.12
INFO:root:Epoch 0 evaluation score: -0.12
INFO:root:Epoch 0 evaluation score: -0.12
INFO:root:Epoch 151/5000 | Policy Loss: -0.1879 | Value Loss: 0.1446
INFO:root:Epoch 152/5000 | Policy Loss: 0.0588 | Value Loss: 0.0486
INFO:root:Epoch 153/5000 | Policy Loss: 0.3323 | Value Loss: 0.0341
INFO:root:Epoch 154/5000 | Policy Loss: 0.0696 | Value Loss: 0.0537
INFO:root:Epoch 155/5000 | Policy Loss: 0.3513 | Value Loss: 0.0490
INFO:root:Epoch 156/5000 | Policy Loss: 0.1261 | Value Loss: 0.0245
INFO:root:Epoch 157/5000 | Policy Loss: 0.2907 | Value Loss: 0.0662
INFO:root:Epoch 158/5000 | Policy Loss: 0.1932 | Value Loss: 0.0189
INFO:root:Epoch 159/5000 | Policy Loss: 0.1441 | Value Loss: 0.0474
INFO:root:Epoch 160/5000 | Policy Loss: 0.0522 | Value Loss: 0.0401
INFO:root:Epoch 160 evaluation score: -0.03
INFO:root:Epoch 161/5000 | Policy Loss: -0.0784 | Value Loss: 0.1485
INFO:root:Epoch 162/5000 | Policy Loss: 0.1535 | Value Loss: 0.0277
INFO:root:Epoch 163/5000 | Policy Loss: -0.1911 | Value Loss: 0.1060
INFO:root:Epoch 164/5000 | Policy Loss: 0.1697 | Value Loss: 0.0283
INFO:root:Epoch 165/5000 | Policy Loss: 0.2763 | Value Loss: 0.0293
INFO:root:Epoch 166/5000 | Policy Loss: 0.2988 | Value Loss: 0.0165
INFO:root:Epoch 167/5000 | Policy Loss: -1.2833 | Value Loss: 0.2191
INFO:root:Epoch 168/5000 | Policy Loss: -0.6839 | Value Loss: 0.2702
INFO:root:Epoch 169/5000 | Policy Loss: 0.2217 | Value Loss: 0.0381
INFO:root:Epoch 170/5000 | Policy Loss: 0.3071 | Value Loss: 0.0455
INFO:root:Epoch 171/5000 | Policy Loss: 0.2231 | Value Loss: 0.0219
INFO:root:Epoch 172/5000 | Policy Loss: -0.2598 | Value Loss: 0.0852
INFO:root:Epoch 173/5000 | Policy Loss: -0.1034 | Value Loss: 0.0266
INFO:root:Epoch 174/5000 | Policy Loss: -0.1999 | Value Loss: 0.0290
INFO:root:Epoch 175/5000 | Policy Loss: -0.0853 | Value Loss: 0.6974
INFO:root:Epoch 176/5000 | Policy Loss: 0.0249 | Value Loss: 0.1230
INFO:root:Epoch 177/5000 | Policy Loss: 0.1158 | Value Loss: 0.0314
INFO:root:Epoch 178/5000 | Policy Loss: 0.0686 | Value Loss: 0.0201
INFO:root:Epoch 179/5000 | Policy Loss: 0.2016 | Value Loss: 0.5708
INFO:root:Epoch 180/5000 | Policy Loss: 0.2734 | Value Loss: 0.0292
INFO:root:Epoch 180 evaluation score: 0.75
INFO:root:Epoch 181/5000 | Policy Loss: 0.1041 | Value Loss: 0.0239
INFO:root:Epoch 182/5000 | Policy Loss: -0.0669 | Value Loss: 0.0497
INFO:root:Epoch 183/5000 | Policy Loss: 0.1466 | Value Loss: 0.0194
INFO:root:Epoch 184/5000 | Policy Loss: -0.2050 | Value Loss: 0.5080
INFO:root:Epoch 185/5000 | Policy Loss: -0.1473 | Value Loss: 0.0454
INFO:root:Epoch 186/5000 | Policy Loss: -0.0555 | Value Loss: 0.0227
INFO:root:Epoch 187/5000 | Policy Loss: 0.1634 | Value Loss: 0.0886
INFO:root:Epoch 188/5000 | Policy Loss: -0.8921 | Value Loss: 0.5093
INFO:root:Epoch 189/5000 | Policy Loss: 0.1132 | Value Loss: 0.0461
INFO:root:Epoch 190/5000 | Policy Loss: 0.1316 | Value Loss: 0.0252
INFO:root:Epoch 191/5000 | Policy Loss: 0.1506 | Value Loss: 0.0156
INFO:root:Epoch 192/5000 | Policy Loss: -0.1079 | Value Loss: 0.1924
INFO:root:Epoch 193/5000 | Policy Loss: -0.5255 | Value Loss: 0.0738
INFO:root:Epoch 194/5000 | Policy Loss: -1.1553 | Value Loss: 0.2474
INFO:root:Epoch 195/5000 | Policy Loss: -0.1418 | Value Loss: 0.0598
INFO:root:Epoch 196/5000 | Policy Loss: -0.1127 | Value Loss: 0.0512
INFO:root:Epoch 197/5000 | Policy Loss: -0.2017 | Value Loss: 0.0871
INFO:root:Epoch 198/5000 | Policy Loss: -0.1002 | Value Loss: 0.0687
INFO:root:Epoch 199/5000 | Policy Loss: 0.4975 | Value Loss: 0.0385
INFO:root:Epoch 200/5000 | Policy Loss: 0.1235 | Value Loss: 0.0177
INFO:root:Epoch 200 evaluation score: 0.30
INFO:root:Epoch 201/5000 | Policy Loss: 0.1296 | Value Loss: 0.0215
INFO:root:Epoch 202/5000 | Policy Loss: 0.1549 | Value Loss: 0.0428
INFO:root:Epoch 203/5000 | Policy Loss: -0.2123 | Value Loss: 0.1964
INFO:root:Epoch 204/5000 | Policy Loss: 0.1053 | Value Loss: 0.0445
INFO:root:Epoch 205/5000 | Policy Loss: 0.0388 | Value Loss: 0.0273
INFO:root:Epoch 206/5000 | Policy Loss: 0.3609 | Value Loss: 0.0175
INFO:root:Epoch 207/5000 | Policy Loss: -0.1149 | Value Loss: 0.1271
INFO:root:Epoch 208/5000 | Policy Loss: -0.3311 | Value Loss: 0.0250
INFO:root:Epoch 209/5000 | Policy Loss: 0.1886 | Value Loss: 0.0222
INFO:root:Epoch 210/5000 | Policy Loss: 0.2389 | Value Loss: 0.0172
INFO:root:Epoch 211/5000 | Policy Loss: 0.0791 | Value Loss: 0.0482
INFO:root:Epoch 212/5000 | Policy Loss: 0.1036 | Value Loss: 0.0136
INFO:root:Epoch 213/5000 | Policy Loss: -0.7405 | Value Loss: 0.0773
INFO:root:Epoch 214/5000 | Policy Loss: -0.2068 | Value Loss: 0.0810
INFO:root:Epoch 215/5000 | Policy Loss: 0.2653 | Value Loss: 0.0246
INFO:root:Epoch 216/5000 | Policy Loss: -0.5447 | Value Loss: 0.0605
INFO:root:Epoch 217/5000 | Policy Loss: -0.2210 | Value Loss: 0.0165
INFO:root:Epoch 218/5000 | Policy Loss: -0.1206 | Value Loss: 0.6093
INFO:root:Epoch 219/5000 | Policy Loss: 0.1723 | Value Loss: 0.0351
INFO:root:Epoch 220/5000 | Policy Loss: -0.0478 | Value Loss: 0.0570
INFO:root:Epoch 220 evaluation score: 0.60
INFO:root:Epoch 221/5000 | Policy Loss: 0.0909 | Value Loss: 0.0245
INFO:root:Epoch 222/5000 | Policy Loss: -0.2478 | Value Loss: 0.2225
INFO:root:Epoch 223/5000 | Policy Loss: 0.1023 | Value Loss: 0.0522
INFO:root:Epoch 224/5000 | Policy Loss: -0.4020 | Value Loss: 0.0862
